Дата,Курс,Отклонение от медианы,Отклонение от среднего
2022-07-20,55.437,24.044399999999996,12.171674198298426
2022-07-19,56.5616,25.168999999999997,13.296274198298427
2022-07-16,57.8323,26.439699999999995,14.566974198298425
2022-07-15,58.2568,26.864199999999997,14.991474198298427
2022-07-14,58.5322,27.1396,15.266874198298432
2022-07-13,58.8541,27.4615,15.588774198298431
2022-07-12,61.3045,29.911899999999996,18.039174198298426
2022-07-09,61.2664,29.873799999999996,18.001074198298426
2022-07-08,63.1427,31.750099999999996,19.877374198298426
2022-07-07,62.911,31.5184,19.64567419829843
2022-07-06,58.5118,27.1192,15.24647419829843
2022-07-05,55.0858,23.693199999999997,11.820474198298427
2022-07-02,53.7676,22.375,10.50227419829843
2022-07-01,52.5123,21.1197,9.246974198298432
2022-06-30,51.158,19.7654,7.89267419829843
2022-06-29,52.9699,21.5773,9.704574198298431
2022-06-28,53.3641,21.9715,10.098774198298429
2022-06-25,53.3234,21.930799999999998,10.058074198298428
2022-06-24,53.3578,21.965199999999996,10.092474198298426
2022-06-23,53.2788,21.886199999999995,10.013474198298425
2022-06-22,54.7081,23.3155,11.44277419829843
2022-06-21,56.1727,24.780099999999997,12.907374198298427
2022-06-18,56.7101,25.317499999999995,13.444774198298425
2022-06-17,56.8691,25.4765,13.603774198298431
2022-06-16,56.6624,25.269799999999996,13.397074198298426
2022-06-15,57.0926,25.699999999999996,13.827274198298426
2022-06-11,57.778,26.385399999999997,14.512674198298427
2022-06-10,58.3895,26.996899999999997,15.124174198298427
2022-06-09,60.2282,28.8356,16.96287419829843
2022-06-08,60.9565,29.563899999999997,17.691174198298427
2022-06-07,61.1094,29.7168,17.84407419829843
2022-06-04,61.9659,30.573299999999996,18.700574198298426
2022-06-03,61.575,30.1824,18.30967419829843
2022-06-02,61.4733,30.0807,18.20797419829843
2022-06-01,61.6069,30.2143,18.34157419829843
2022-05-31,63.0975,31.704899999999995,19.832174198298425
2022-05-28,66.4029,35.0103,23.13757419829843
2022-05-27,62.0495,30.6569,18.78417419829843
2022-05-26,56.2996,24.906999999999996,13.034274198298426
2022-05-25,56.969,25.5764,13.70367419829843
2022-05-24,58.2087,26.8161,14.943374198298429
2022-05-21,58.8862,27.4936,15.62087419829843
2022-05-20,62.4031,31.0105,19.13777419829843
2022-05-19,63.5643,32.1717,20.29897419829843
2022-05-18,63.5428,32.1502,20.277474198298428
2022-05-17,63.4445,32.051899999999996,20.179174198298426
2022-05-14,63.7799,32.387299999999996,20.514574198298426
2022-05-13,65.7916,34.399,22.52627419829843
2022-05-12,68.8389,37.446299999999994,25.573574198298424
2022-05-07,67.3843,35.991699999999994,24.118974198298424
2022-05-06,66.2378,34.84519999999999,22.97247419829842
2022-05-05,69.416,38.023399999999995,26.150674198298425
2022-04-30,71.0237,39.6311,27.758374198298434
2022-04-29,72.2953,40.902699999999996,29.029974198298426
2022-04-28,72.8764,41.4838,29.611074198298432
2022-04-27,72.7089,41.3163,29.44357419829843
2022-04-26,73.3611,41.96849999999999,30.09577419829842
2022-04-23,73.505,42.112399999999994,30.239674198298424
2022-04-22,74.999,43.606399999999994,31.733674198298424
2022-04-21,77.0809,45.6883,33.81557419829843
2022-04-20,79.0287,47.6361,35.76337419829843
2022-04-19,79.4529,48.0603,36.18757419829843
2022-04-16,80.0437,48.6511,36.77837419829843
2022-04-15,81.288,49.895399999999995,38.022674198298425
2022-04-14,79.8471,48.454499999999996,36.581774198298426
2022-04-13,79.6274,48.23479999999999,36.36207419829842
2022-04-12,79.1596,47.766999999999996,35.894274198298426
2022-04-09,74.8501,43.457499999999996,31.584774198298426
2022-04-08,76.2547,44.8621,32.98937419829843
2022-04-07,82.5962,51.203599999999994,39.330874198298424
2022-04-06,83.352,51.9594,40.08667419829843
